OPEID6,Institution,County,Sector,median_earnings_10yr,total_net_price,premium_statewide,premium_regional,roi_statewide_years,roi_regional_years,rank_statewide,rank_regional,rank_change,hs_median_income
1338,West Valley College,Santa Clara,Public,51688,1842,26748.56,18188.0,0.06886352012968175,0.10127556630745546,10.0,16.0,6.0,33500.0
1344,Yuba College,Yuba,Public,39552,3573,14612.560000000001,14612.560000000001,0.24451567692450876,0.24451567692450876,44.0,45.0,1.0,
4480,De Anza College,Santa Clara,Public,56596,4667,31656.56,23096.0,0.14742599954006372,0.2020696224454451,22.0,32.0,10.0,33500.0
4481,Ohlone College,Alameda,Public,54278,14130,29338.56,27141.0,0.48161872975360753,0.5206145683652039,78.0,82.0,4.0,27137.0
4502,City College of San Francisco,San Francisco,Public,45805,7272,20865.56,22897.0,0.34851688619907634,0.3175961916408263,63.0,61.0,-2.0,22908.0
5638,Downey Adult School,Los Angeles,Public,46851,13102,21911.56,23253.0,0.5979492103711466,0.5634541779555327,97.0,92.0,-5.0,23598.0
5655,Hacienda La Puente Adult Education,Los Angeles,Public,39271,4211,14331.560000000001,15673.0,0.29382705023040057,0.268678619281567,55.0,51.0,-4.0,23598.0
6720,College of Alameda,Alameda,Public,42563,9280,17623.56,15426.0,0.5265678444082807,0.6015817451056658,86.0,98.0,12.0,27137.0
6731,Casa Loma College-Los Angeles,Los Angeles,Private non-profit,49854,27721,24914.56,26256.0,1.1126425672377918,1.0557967702620354,150.0,146.0,-4.0,23598.0
6973,Canada College,San Mateo,Public,50087,10,25147.56,20087.0,0.00039765289356104527,0.0004978344202718176,1.0,1.0,0.0,30000.0
7047,Los Angeles Southwest College,Los Angeles,Public,32172,6683,7232.560000000001,8574.0,0.9240158394814559,0.7794494984837882,134.0,112.0,-22.0,23598.0
7050,Bellus Academy-Chula Vista,San Diego,Private for-profit,23576,20159,-1363.4399999999987,-2381.0,999.0,999.0,,,,25957.0
7115,Moorpark College,Ventura,Public,49044,742,24104.56,20906.0,0.03078255732525298,0.03549220319525495,3.0,3.0,0.0,28138.0
7142,Lyle's College of  Beauty,Fresno,Private for-profit,25913,17560,973.5600000000013,5855.0,18.036895517482208,2.9991460290350127,274.0,234.0,-40.0,20058.0
7142,Lyle's College of Beauty,Kern,Private for-profit,25913,19746,973.5600000000013,4913.0,20.282263034635744,4.019132912680643,277.0,245.0,-32.0,21000.0
7187,North Adrian's College of Beauty Inc,Stanislaus,Private for-profit,27269,20347,2329.5600000000013,1029.0,8.73426741530589,19.773566569484938,267.0,278.0,11.0,26240.0
7203,Salon Success Academy-West Covina,Los Angeles,Private for-profit,26956,16649,2016.5600000000013,3358.0,8.25613916769151,4.958010720667064,266.0,254.0,-12.0,23598.0
7203,Salon Success Academy-Upland,San Bernardino,Private for-profit,26956,16626,2016.5600000000013,2956.0,8.24473360574443,5.624492557510149,265.0,259.0,-6.0,24000.0
7204,Modern Beauty Academy,Ventura,Private for-profit,22477,11582,-2462.4399999999987,-5661.0,999.0,999.0,,,,28138.0
7253,Federico Beauty Institute,Sacramento,Private for-profit,29856,25736,4916.560000000001,4856.0,5.234554241176756,5.299835255354201,259.0,258.0,-1.0,25000.0
7465,American Academy of Dramatic Arts-Los Angeles,Los Angeles,Private non-profit,27019,40991,2079.5600000000013,3421.0,19.71138125372674,11.982168956445484,275.0,272.0,-3.0,23598.0
7536,Cosumnes River College,Sacramento,Public,42446,4648,17506.56,17446.0,0.2655004752504204,0.2664221024876763,50.0,50.0,0.0,25000.0
7607,Concorde Career College-North Hollywood,Los Angeles,Private for-profit,50552,23584,25612.56,26954.0,0.9207982333667544,0.8749721748163538,132.0,124.0,-8.0,23598.0
7707,Columbia College,Tuolumne,Public,39035,15468,14095.560000000001,14095.560000000001,1.0973668304061703,1.0973668304061703,149.0,149.0,0.0,
7713,Skyline College,San Mateo,Public,55702,1180,30762.56,25702.0,0.03835831608292678,0.04591082406038441,4.0,5.0,1.0,30000.0
7930,Concorde Career College-San Diego,San Diego,Private for-profit,39169,24477,14229.560000000001,13212.0,1.720151571798425,1.8526339691189828,176.0,193.0,17.0,25957.0
8071,Concorde Career College-Garden Grove,Orange,Private for-profit,45711,22610,20771.56,17711.0,1.0885075555230324,1.2766077578905766,148.0,156.0,8.0,28000.0
8073,Butte College,Butte,Public,41810,4632,16870.56,26810.0,0.27456112897260077,0.17277135397239837,52.0,26.0,-26.0,15000.0
8221,Universal Technical Institute-Southern California,Los Angeles,Private for-profit,52873,24867,27933.56,29275.0,0.890219506572023,0.8494278394534586,129.0,121.0,-8.0,23598.0
8221,Universal Technical Institute of California Inc,San Bernardino,Private for-profit,52873,23526,27933.56,28873.0,0.8422127362212335,0.8148096837876216,125.0,118.0,-7.0,24000.0
8537,Concorde Career College-San Bernardino,San Bernardino,Private for-profit,39993,23161,15053.560000000001,15993.0,1.5385729355713864,1.448196085787532,165.0,165.0,0.0,24000.0
8596,West Los Angeles College,Los Angeles,Public,38537,7131,13597.560000000001,14939.0,0.524432324622947,0.47734118749581633,85.0,75.0,-10.0,23598.0
8597,Feather River Community College District,Plumas,Public,38142,6520,13202.560000000001,13202.560000000001,0.49384361820737793,0.49384361820737793,82.0,80.0,-2.0,
8903,College of the Canyons,Los Angeles,Public,49022,2114,24082.56,25424.0,0.08778136543623269,0.08314977973568281,13.0,12.0,-1.0,23598.0
8918,Saddleback College,Orange,Public,50874,2976,25934.56,22874.0,0.11475035628134812,0.130104048264405,16.0,19.0,3.0,28000.0
9022,Associated Technical College-Los Angeles,Los Angeles,Private for-profit,24368,22236,-571.4399999999987,770.0,999.0,28.87792207792208,,280.0,,23598.0
9272,Crafton Hills College,San Bernardino,Public,42553,10655,17613.56,18553.0,0.6049316549294974,0.5743006521856303,98.0,94.0,-4.0,24000.0
9509,Charles A Jones Career and Education Center,Sacramento,Public,41047,15980,16107.560000000001,16047.0,0.9920807372438779,0.9958247647535365,139.0,137.0,-2.0,25000.0
9748,Carrington College-San Leandro Campus,Alameda,Private for-profit,39633,32368,14693.560000000001,12496.0,2.202869828686853,2.590268886043534,219.0,225.0,6.0,27137.0
9748,Carrington College-Stockton,San Joaquin,Private for-profit,39633,30387,14693.560000000001,10136.0,2.0680488595003523,2.9979281767955803,204.0,233.0,29.0,29497.0
9748,Carrington College-Pleasant Hill Campus,Contra Costa,Private for-profit,39633,30749,14693.560000000001,14633.0,2.092685503036704,2.10134627212465,208.0,212.0,4.0,25000.0
